Date,60_40,All_Weather,Permanent,Golden_Butterfly
2015-09-18,1.0,1.0,1.0,1.0
2015-09-21,1.0020391846597934,0.9945599956562257,0.9957156415117239,0.9967210867575182
2015-09-22,0.995162522084662,0.9959004027677811,0.9941791224432299,0.99287476321348
2015-09-23,0.9938814726096821,0.9949195371460077,0.9946916194340485,0.9923549990114598
2015-09-24,0.9922452539336164,0.9987969750427325,1.0006922697843643,0.9972635578792924
2015-09-25,0.9913959149511138,0.9948384502218465,0.9969012585884365,0.9934427125404879
2015-09-28,0.9774899144932179,0.9930734984456911,0.9918422177952113,0.9843382512538821
2015-09-29,0.9784496923584891,0.9951040163178121,0.9916921937426133,0.9839534981580473
2015-09-30,0.9893714614895348,0.998891291538836,0.9926826939164451,0.9875955481986218
2015-10-01,0.991217752605005,1.000914385875629,0.9941587164177228,0.988547738835872
2015-10-02,1.0012385390695415,1.0105621028550276,1.0045420045415547,0.9991994828385045
2015-10-05,1.010387230355736,1.0103476289059161,1.0049545739912595,1.0044019600584035
2015-10-06,1.0092898083860413,1.013599672019559,1.0076673934942626,1.0064487630679106
2015-10-07,1.0139696322172793,1.0141021696182233,1.0085320930243173,1.0097989443735642
2015-10-08,1.0189453822560974,1.01305640122544,1.0074392105734218,1.0115814252267918
2015-10-09,1.018983710581262,1.015913224448732,1.0122096272174677,1.015434922989018
2015-10-12,1.0205936971475635,1.0188152730641107,1.0153679384024135,1.0175869840309855
2015-10-13,1.0167314615364815,1.0175736424367767,1.0154334294711442,1.015692557768852
2015-10-14,1.0152881270703114,1.022011484343807,1.0208852809104076,1.0189731504214163
2015-10-15,1.0241318876350531,1.0236303020973905,1.0223574314116763,1.022660728232702
2015-10-16,1.0265527777086256,1.0245480875881312,1.021784856460958,1.0219427794968003
2015-10-19,1.027262957226447,1.0217935742501394,1.0201393327290247,1.0206326842478026
2015-10-20,1.0256525958771945,1.0190006190724785,1.0198056341478268,1.0211465866454268
2015-10-21,1.0228057186902042,1.0203190090203702,1.0185220947853244,1.0176188205838304
2015-10-22,1.0332154635372115,1.0265354956691892,1.0231407730477797,1.022797058303281
2015-10-23,1.039324120003596,1.0249699817846005,1.0233424505260467,1.0245588256257048
2015-10-26,1.0379655668365202,1.027059915999199,1.0241797653965037,1.024351982050202
2015-10-27,1.037351610745514,1.0276825380382266,1.0248872438279035,1.0226937805035259
2015-10-28,1.0432393129377016,1.029425789617711,1.0247532896150815,1.0271825770974674
2015-10-29,1.0411181829659195,1.020612434958903,1.0181242643279607,1.0204015845642305
2015-10-30,1.0394749373194179,1.0230683249686208,1.0179378829257026,1.0199219006113485
2015-11-02,1.046124948696713,1.02358311827673,1.0182419609380307,1.0236521578279374
2015-11-03,1.0472245706228223,1.0210554668800154,1.0133291799135211,1.020052139847449
2015-11-04,1.04528472915746,1.0183916655602185,1.0104610309604478,1.0168976216469603
2015-11-05,1.0444609523755461,1.0160818123622166,1.0087845688226555,1.0158226494693345
2015-11-06,1.0421791419055706,1.0075171701075556,1.0014800604845315,1.010057907154895
2015-11-09,1.035976961281931,1.0016338434137602,0.9983754417839151,1.0051994008259646
2015-11-10,1.0381807711458746,1.003499186656668,0.9991444614668845,1.006419612686014
2015-11-11,1.0351710671126086,1.0003649193373163,0.9968581353534054,1.003295504165559
2015-11-12,1.0267568174119646,0.9969188404680702,0.9944456401808659,0.9971825461815388
2015-11-13,1.0205728376926724,0.9955192033097858,0.9922516173462186,0.9941043892503525
2015-11-16,1.0302447462289273,1.0004529599972058,0.9962837810590418,0.9993568572147478
2015-11-17,1.0300898646752845,0.9987962709597861,0.9933344909932507,0.9960860660196731
2015-11-18,1.0395929152232726,1.0046971221591379,0.9980112348075794,1.0030446228919432
2015-11-19,1.039240704684387,1.008255763645521,1.0022487731400087,1.0060280354354623
2015-11-20,1.041261561206495,1.0074819885410327,1.0012054283283909,1.0061581556890047
2015-11-23,1.0406531524330993,1.0085392760777119,0.9997227016571557,1.0056884285874392
2015-11-24,1.041874732543145,1.0107720260509063,1.0016362029633452,1.0083928983157915
2015-11-25,1.0419738481370784,1.0112900054805936,1.0010157929273236,1.0087151470732414
2015-11-27,1.0425821601424958,1.0093441020273577,0.9981752568981758,1.006926342421084
2015-11-30,1.0401167294549227,1.009746595022333,0.999744712234467,1.0073836803071359
2015-12-01,1.0475478076648024,1.0200325300674014,1.0063705291771112,1.0145538134763183
2015-12-02,1.0405860122322732,1.0138525761199084,0.9999968772914741,1.0065346682236047
2015-12-03,1.0287605132229123,0.998473498758398,0.9921785303952246,0.9972632586720349
2015-12-04,1.0421534432738264,1.0099320164285746,1.0046907572990684,1.0091372923331214
2015-12-07,1.0389419426095867,1.0093125613870562,1.0023110816053347,1.004391718297483
2015-12-08,1.0348828078108496,1.0073100643272461,1.0011018461744987,1.0019104084817372
2015-12-09,1.0300399315331599,1.0046609509651905,0.9983463147953857,0.9978135795410571
2015-12-10,1.0315580715700934,1.0053120370982744,0.9991551728015364,0.9986532164872902
2015-12-11,1.0205829241649458,1.006784182175225,0.9997355111777966,0.9956317955061804
2015-12-14,1.021711666964275,1.000360785040358,0.9944406376891703,0.9895548144448778
2015-12-15,1.0281567109309036,1.0003210779675629,0.9948095268753704,0.9922793779931289
2015-12-16,1.0364579641900968,1.0040126668273253,1.000934045773002,0.9992673514692756
2015-12-17,1.0274932029472355,1.0022043146176938,0.9944354080656782,0.991812014496757
2015-12-18,1.0173841314628398,1.0011043124889247,0.9952497689921265,0.9898812203593088
2015-12-21,1.0219993328332797,1.0040017219409045,0.9998946325310998,0.9949354668331083
