Date,ticker,value
2015-09-16,AGG,1
2015-09-16,BIL,1
2015-09-16,DBC,1
2015-09-16,GLD,1
2015-09-16,IEF,1
2015-09-16,SPY,1
2015-09-16,TLT,1
2015-09-16,VBR,1
2015-09-16,VV,1
2015-09-17,AGG,1.0062667085208667
2015-09-17,BIL,1.0
2015-09-17,DBC,0.9934811078829906
2015-09-17,GLD,1.0102507327233419
2015-09-17,IEF,1.0083165171418045
2015-09-17,SPY,0.9977521416775575
2015-09-17,TLT,1.0122050324361462
2015-09-17,VBR,0.9985426706778018
2015-09-17,VV,0.9979369102334362
2015-09-18,AGG,1.0070962396064527
2015-09-18,BIL,1.0
2015-09-18,DBC,0.9784876702419767
2015-09-18,GLD,1.0177057270441316
2015-09-18,IEF,1.013042099032016
2015-09-18,SPY,0.9814471888930715
2015-09-18,TLT,1.0277774432810647
2015-09-18,VBR,0.9831939582270192
2015-09-18,VV,0.9819760931182125
2015-09-21,AGG,1.004424073681077
2015-09-21,BIL,1.0002191055175906
2015-09-21,DBC,0.989569872209539
2015-09-21,GLD,1.011368942768235
2015-09-21,IEF,1.0072771979583504
2015-09-21,SPY,0.9865189989195198
2015-09-21,TLT,1.011026767764953
2015-09-21,VBR,0.9852339072750935
2015-09-21,VV,0.986536214275972
2015-09-22,AGG,1.0068198213533057
2015-09-22,BIL,1.0002191055175906
2015-09-22,DBC,0.9837027697074764
2015-09-22,GLD,1.004473053469892
2015-09-22,IEF,1.012285995218632
2015-09-22,SPY,0.9737141005252659
2015-09-22,TLT,1.025083657627896
2015-09-22,VBR,0.9712452526219496
2015-09-22,VV,0.9742670454746454
2015-09-23,AGG,1.0059904744851493
2015-09-23,BIL,0.9999999999999999
2015-09-23,DBC,0.9758800137984188
2015-09-23,GLD,1.0084801386898967
2015-09-23,IEF,1.0111521519012652
2015-09-23,SPY,0.9721577170244863
2015-09-23,TLT,1.0249994480804234
2015-09-23,VBR,0.9677482495484447
2015-09-23,VV,0.9717698175519168
2015-09-24,AGG,1.0072809175796484
2015-09-24,BIL,0.9999999999999999
2015-09-24,DBC,0.9817471163004814
2015-09-24,GLD,1.0296337748348137
2015-09-24,IEF,1.012663823980532
