Date,AGG,BIL,DBC,GLD,IEF,SHY,SPY,TLT,VBR,VV
2018-09-26,86.76260375976562,77.2154312133789,15.476621627807617,113.05000305175781,86.39881134033203,71.64639282226562,260.6719055175781,97.2338638305664,120.38523864746094,119.53561401367188
2018-09-27,86.82008361816406,77.23230743408203,15.546533584594727,112.05000305175781,86.39881134033203,71.64639282226562,261.40020751953125,97.30010223388672,120.3593521118164,119.92886352539062
2018-09-28,86.72968292236328,77.23230743408203,15.703832626342773,112.76000213623047,86.44147491455078,71.68087768554688,261.4272766113281,97.04351806640625,120.79533386230469,119.90550231933594
2018-10-01,86.70664978027344,77.23738861083984,16.000957489013672,112.56999969482422,86.22235107421875,71.66105651855469,262.3355407714844,96.33110046386719,119.66854095458984,120.3096694946289
2018-10-02,86.80551147460938,77.24584197998047,16.05339241027832,113.87000274658203,86.44497680664062,71.68694305419922,262.1826477050781,96.91995239257812,119.11380004882812,120.27371978759766
2018-10-03,86.39356994628906,77.24584197998047,16.201955795288086,113.41999816894531,85.8028335571289,71.65242004394531,262.32659912109375,95.2363510131836,119.78123474121094,120.39944458007812
2018-10-04,86.14636993408203,77.26274108886719,16.02717399597168,113.4800033569336,85.58026123046875,71.63514709472656,260.2763366699219,94.56450653076172,118.72374725341797,119.41154479980469
2018-10-05,85.95690155029297,77.27120208740234,15.992216110229492,113.80000305175781,85.37478637695312,71.6264419555664,258.8194274902344,93.75178527832031,117.90029907226562,118.72901153564453
2018-10-08,85.92394256591797,77.27120208740234,15.948522567749023,112.54000091552734,85.40902709960938,71.60919189453125,258.8194274902344,93.43659973144531,118.25567626953125,118.62122344970703
2018-10-09,86.0475082397461,77.26274108886719,16.06212615966797,112.5999984741211,85.5716552734375,71.63514709472656,258.44171142578125,94.38209533691406,117.57960510253906,118.46854400634766
2018-10-10,86.02281951904297,77.27962493896484,15.747526168823242,112.87999725341797,85.6144790649414,71.65242004394531,250.25865173339844,94.12503051757812,114.8232192993164,114.60670471191406
2018-10-11,86.27819061279297,77.28807830810547,15.511578559875488,115.77999877929688,85.96549987792969,71.67827606201172,244.74635314941406,95.26952362060547,112.3355484008789,112.1908187866211
