name,CAGR,AnnualVol,Sharpe,MaxDrawdown,TotalReturn,Type
VV,0.14632629700016264,0.1834518210736041,0.7837575984174837,-0.3427913487273763,2.9130395134508102,Ticker
SPY,0.14582105539544976,0.1809444398146543,0.7895884173870958,-0.33717270159546064,2.8958434740447254,Ticker
GLD,0.12083672519561417,0.1446582996682173,0.7936929021660236,-0.22002168134715575,2.1257107544391354,Ticker
Golden_Butterfly,0.10759682801444792,0.11564326732569613,0.8572300062057948,-0.21905711323643012,1.7758228505300502,Portfolio
VBR,0.09723115694029993,0.21864788909342697,0.48964832904549765,-0.45275197946842966,1.526941321686952,Ticker
60_40,0.09663918033303354,0.11115136113838009,0.7976387563147386,-0.21360504836463978,1.5133540526625202,Portfolio
Permanent,0.07501517888783571,0.07118667617159699,0.9136326061137847,-0.1745532061904986,1.0598942928256805,Portfolio
All_Weather,0.06221665071767468,0.0866884790654299,0.6259048621258118,-0.2355867721706857,0.8275945843646781,Portfolio
DBC,0.05249672396267702,0.1767215924956494,0.3223715162778788,-0.4171105427425422,0.6672264715651703,Ticker
AGG,0.019584030789164597,0.05381294233400739,0.2023576128658529,-0.18432921402698915,0.21380670949353453,Ticker
BIL,0.019219835870746937,0.002630436219504566,3.4534105298661704,-0.002085400500113304,0.20948210104362097,Ticker
IEF,0.012719440078369004,0.06678932926023287,0.07330579839455385,-0.23924782504647385,0.13458978132524346,Ticker
TLT,-0.0014180683608925326,0.1509357957685966,-0.00026609852588593483,-0.4835114935054629,-0.01407712691407792,Ticker
