Date,60_40,All_Weather,Permanent,Golden_Butterfly
2015-09-16,1.0,1.0,1.0,1.0
2015-09-17,1.0011579684148812,1.0057350210944713,1.0050519767092614,1.0033374975496567
2015-09-18,0.991706809178424,1.0072159536316079,1.006732589804567,0.9984200821126998
2015-09-21,0.9936810288241427,1.0015283975989226,1.0022834537425747,0.9961369662007546
2015-09-22,0.9869563888564817,1.0031037792298356,1.000872479285161,0.9897566219439299
2015-09-23,0.9856908200087515,1.002146928561329,1.0014093259487016,0.9890310741790336
2015-09-24,0.9840977955857455,1.0061404543266395,1.0075656637004078,0.9932429020260827
2015-09-25,0.9832469355134545,1.0020640979033133,1.0036881461252618,0.9894088065612668
2015-09-28,0.9696229402444885,1.0006426300146933,0.9988056188775181,0.9755279904801919
2015-09-29,0.9705809746919459,1.0026928882123936,0.9986553370235869,0.9751652254092708
2015-09-30,0.9813038989571508,1.00631590996027,0.9994926166385104,0.9821180057798575
2015-10-01,0.9831242928148654,1.00838333247009,1.0009814536110584,0.9835859554115489
2015-10-02,0.9929898606262375,1.0180440430684263,1.011431016711843,0.9968577517321636
2015-10-05,1.0019302931955494,1.0175415892030986,1.0116560336902982,1.0054542625111256
2015-10-06,1.0008785701380147,1.020846459576114,1.014459444707389,1.0069155981313949
2015-10-07,1.0054642300421195,1.0212617013329264,1.0152558065603636,1.0118408196990125
2015-10-08,1.0103333043189897,1.0200513439388466,1.0140388878987687,1.0153343749970618
2015-10-09,1.0103624376033364,1.022948264700341,1.0188946001832677,1.019375971347713
2015-10-12,1.0119691461577265,1.0259688504887945,1.0221194346056048,1.0218248543658863
2015-10-13,1.0081796105978893,1.0248015822729557,1.0222492514141848,1.018668987714789
2015-10-14,1.006801404632323,1.0293953399631364,1.0278643769089069,1.0208555368714085
2015-10-15,1.0154669227867283,1.0308626820070441,1.0292081567627576,1.0275892390095727
2015-10-16,1.017830336328712,1.0317773119219287,1.0286440405004758,1.027910010800734
2015-10-19,1.0185378921777528,1.0290015237014674,1.0269976444289526,1.0266329840793293
2015-10-20,1.0169420401377969,1.0261805626184173,1.0266449084777403,1.0269943054013018
2015-10-21,1.014108903017469,1.0275098502774227,1.0253615860248555,1.0221018881632753
2015-10-22,1.0244505882807662,1.033801163230872,1.030042852606605,1.0307200160276953
2015-10-23,1.0305231662851289,1.0322584635679724,1.0302709704460755,1.0349655992985252
2015-10-26,1.0291722591276637,1.0343601036581687,1.0311101939450182,1.0342361991529954
2015-10-27,1.0285596598951585,1.0349861027281229,1.0318131908868473,1.0320800667607994
2015-10-28,1.0344155092729075,1.036752706230113,1.0317188814286302,1.0392815347625906
2015-10-29,1.0323165029357018,1.0278937734795695,1.0250674592423052,1.0325070342093245
2015-10-30,1.030678610176737,1.0303465127375449,1.0248798178629814,1.0311110274712976
2015-11-02,1.0372897334372366,1.0309026872043872,1.0252235244173586,1.0375096808610904
2015-11-03,1.0383855417613428,1.028354508848989,1.0203176032905446,1.0345688209084312
2015-11-04,1.0364584187327084,1.0256917728381594,1.017444906012956,1.030977989763364
2015-11-05,1.0356407826391612,1.023376030132302,1.0157624179251363,1.0296892349224755
2015-11-06,1.033383733815184,1.0147698296899454,1.0084407022568864,1.0240046119577153
2015-11-09,1.0272229603717997,1.0088344671352194,1.00529170327082,1.017160545699016
2015-11-10,1.0294088589581911,1.0107211320110985,1.0060744703830746,1.0187838649609051
2015-11-11,1.0264213846605057,1.0075709736582708,1.0037728153135301,1.0148591413758898
2015-11-12,1.0180598538514603,1.0040859001424574,1.001317027580717,1.0056737982165003
2015-11-13,1.0119123902214784,1.0026623777019308,0.9990929907440369,1.0000636085845382
2015-11-16,1.0214806767823323,1.007544167446747,1.0030780242253223,1.0083177555771448
2015-11-17,1.021329635429762,1.005796444083889,0.9999516121521914,1.0048303000904335
2015-11-18,1.0308033313631835,1.0117857492560465,1.0047106116810611,1.0151712156071218
2015-11-19,1.0304503835066385,1.0153468865572912,1.0089383712901667,1.0180066273729271
2015-11-20,1.032467296703797,1.014589931149748,1.0079150556323193,1.0189142705746317
2015-11-23,1.0318602677420385,1.0156487964209902,1.0064442215289717,1.0182515294104593
2015-11-24,1.0330720811532808,1.0178771307298684,1.0083539092405744,1.0212394063599632
2015-11-25,1.0331690341921602,1.0184027175638666,1.007743791719544,1.0215267576968714
2015-11-27,1.033776130572731,1.0164770286762848,1.0049255670515356,1.0199541955465383
2015-11-30,1.0313173405101712,1.0168631391767518,1.0064703323895938,1.0195938879762756
2015-12-01,1.0387043419947475,1.0272237105628559,1.0131615995243357,1.0286691422735097
2015-12-02,1.0317731325044628,1.0210045918596746,1.0067590156089805,1.0186494202769731
2015-12-03,1.0200266280103363,1.0054758011527278,0.9988080070805399,1.0063691574088343
2015-12-04,1.0333569886688447,1.017048659618406,1.0114001261538568,1.0222173548749702
2015-12-07,1.0301483683878092,1.0164377314073105,1.0090248085189006,1.0162176680383153
2015-12-08,1.0261016939229752,1.0144006072772236,1.0077792103632344,1.0123360660310574
2015-12-09,1.0212752941518415,1.011708192139969,1.004984837700062,1.00653043750433
2015-12-10,1.0227890348482864,1.0123767162847765,1.0058106816642176,1.0080269906077524
2015-12-11,1.0118387141498915,1.0137789106102881,1.0063110146779457,1.0007282506607846
2015-12-14,1.012988264908606,1.0073637909717554,1.00103898968652,0.9959004126730908
2015-12-15,1.0194106472799542,1.0073707996743493,1.0014540599034307,1.0008134185263242
2015-12-16,1.0276439588813946,1.0111078598047851,1.007669484019219,1.0110191869469793
