Date,ticker,daily_return
2015-09-17,AGG,0.006266708520866748
2015-09-17,BIL,0.0
2015-09-17,DBC,-0.0065188921170094005
2015-09-17,GLD,0.010250732723341871
2015-09-17,IEF,0.00831651714180448
2015-09-17,SPY,-0.002247858322442453
2015-09-17,TLT,0.012205032436146235
2015-09-17,VBR,-0.0014573293221982198
2015-09-17,VV,-0.002063089766563775
2015-09-18,AGG,0.0008243650302266481
2015-09-18,BIL,0.0
2015-09-18,DBC,-0.015091819584736155
2015-09-18,GLD,0.007379350570420495
2015-09-18,IEF,0.004686605653953402
2015-09-18,SPY,-0.016341686580669146
2015-09-18,TLT,0.01538464080487656
2015-09-18,VBR,-0.015371113224800004
2015-09-18,VV,-0.01599381378877962
2015-09-21,AGG,-0.0026533372087854667
2015-09-21,BIL,0.00021910551759063424
2015-09-21,DBC,0.011325847330116767
2015-09-21,GLD,-0.0062265388780913256
2015-09-21,IEF,-0.005690682627280896
2015-09-21,SPY,0.0051676851121948975
2015-09-21,TLT,-0.016297959860489875
2015-09-21,VBR,0.0020748185350456527
2015-09-21,VV,0.004643820954213895
2015-09-22,AGG,0.0023851953920703828
2015-09-22,BIL,0.0
2015-09-22,DBC,-0.005928942126100067
2015-09-22,GLD,-0.00681837162160448
2015-09-22,IEF,0.004972610588658277
2015-09-22,SPY,-0.012979880172889091
2015-09-22,TLT,0.013903578333557265
2015-09-22,VBR,-0.014198308188390518
2015-09-22,VV,-0.012436612689713744
2015-09-23,AGG,-0.0008237291822895676
2015-09-23,BIL,-0.00021905752087925112
2015-09-23,DBC,-0.007952357307465796
2015-09-23,GLD,0.003989241131120869
2015-09-23,IEF,-0.0011200819953277596
2015-09-23,SPY,-0.0015983988523324832
2015-09-23,TLT,-8.21489513037621e-05
2015-09-23,VBR,-0.00360053556407558
2015-09-23,VV,-0.002563186278677798
2015-09-24,AGG,0.001282758760871472
2015-09-24,BIL,0.0
2015-09-24,DBC,0.006012114623831666
2015-09-24,GLD,0.020975758801157207
2015-09-24,IEF,0.0014949996164517199
2015-09-24,SPY,-0.0036160141917116473
2015-09-24,TLT,0.006816638756572235
2015-09-24,VBR,-0.0011045078961220423
2015-09-24,VV,-0.002569874206204803
2015-09-25,AGG,-0.0017382385879456397
2015-09-25,BIL,0.0
2015-09-25,DBC,0.005976112650712517
2015-09-25,GLD,-0.006154405994415857
2015-09-25,IEF,-0.0026128727259330242
2015-09-25,SPY,-0.0002589573670663814
2015-09-25,TLT,-0.008645896968964784
2015-09-25,VBR,-0.002409384648609625
2015-09-25,VV,-0.0013735091170874458
2015-09-28,AGG,0.0023829384028650757
2015-09-28,BIL,0.00021910551759063424
2015-09-28,DBC,-0.013861401400993234
2015-09-28,GLD,-0.012658222571280353
2015-09-28,IEF,0.005707987019477168
2015-09-28,SPY,-0.025097358268155512
2015-09-28,TLT,0.017113274650218502
2015-09-28,VBR,-0.024558838250905657
2015-09-28,VV,-0.02683173746664802
2015-09-29,AGG,0.0015536260046342676
2015-09-29,BIL,0.0
2015-09-29,DBC,0.006693353986629846
2015-09-29,GLD,-0.004058244045771819
2015-09-29,IEF,0.0034423482025494057
2015-09-29,SPY,0.0005855007300321624
2015-09-29,TLT,0.0028314528906205894
2015-09-29,VBR,-0.001985023743119929
2015-09-29,VV,0.0006948719369066492
2015-09-30,AGG,0.00036624792685335805
2015-09-30,BIL,-0.00021905752087925112
2015-09-30,DBC,0.007313931872370727
2015-09-30,GLD,-0.010372316278596583
2015-09-30,IEF,0.00018555998307445698
2015-09-30,SPY,0.01865795760958755
2015-09-30,TLT,-0.003468799714841375
2015-09-30,VBR,0.013817431186293527
2015-09-30,VV,0.019333131789087465
2015-10-01,AGG,0.0007771026166740747
2015-10-01,BIL,0.00021910551759063424
2015-10-01,DBC,-0.006600646753027628
2015-10-01,GLD,-0.001216519302596475
2015-10-01,IEF,0.000779575063298843
2015-10-01,SPY,0.0026092723844692856
2015-10-01,TLT,0.0042666160154951616
2015-10-01,VBR,-0.0007230203449383188
2015-10-01,VV,0.002385034651574358
2015-10-02,AGG,0.0030142204162235675
2015-10-02,BIL,0.0
2015-10-02,DBC,0.006644504781942118
2015-10-02,GLD,0.021174875253005654
2015-10-02,IEF,0.004824281259166785
2015-10-02,SPY,0.014937909997262189
2015-10-02,TLT,0.006057522481392574
2015-10-02,VBR,0.012399812046579362
2015-10-02,VV,0.013256097919312593
2015-10-05,AGG,-0.003734259085270586
2015-10-05,BIL,-0.00021905752087925112
2015-10-05,DBC,0.013201365538780596
