Date,AGG,BIL,DBC,GLD,IEF,SPY,TLT,VBR,VV
2015-09-16,82.830322265625,75.73489379882812,13.405497550964355,107.30999755859375,85.475830078125,168.7465057373047,91.23431396484375,83.1400375366211,77.64041137695312
2015-09-17,83.34939575195312,75.73489379882812,13.318108558654785,108.41000366210938,86.18669128417969,168.3671875,92.34783172607422,83.01887512207031,77.48023223876953
2015-09-18,83.41810607910156,75.73489379882812,13.117114067077637,109.20999908447266,86.59061431884766,165.61578369140625,93.76856994628906,81.74278259277344,76.24102783203125
2015-09-21,83.19676971435547,75.7514877319336,13.265676498413086,108.52999877929688,86.09785461425781,166.4716339111328,92.2403335571289,81.91238403320312,76.59507751464844
2015-09-22,83.39521026611328,75.7514877319336,13.18702507019043,107.79000091552734,86.52598571777344,164.31085205078125,93.5228042602539,80.7493667602539,75.64249420166016
2015-09-23,83.3265151977539,75.73489379882812,13.082157135009766,108.22000122070312,86.42906951904297,164.0482177734375,93.51512145996094,80.45862579345703,75.4486083984375
2015-09-24,83.43340301513672,75.73489379882812,13.160808563232422,110.48999786376953,86.55828094482422,163.45501708984375,94.15258026123047,80.36975860595703,75.25471496582031
2015-09-25,83.28837585449219,75.73489379882812,13.239459037780762,109.80999755859375,86.33211517333984,163.41268920898438,93.33854675292969,80.17611694335938,75.15135192871094
2015-09-28,83.48684692382812,75.7514877319336,13.055941581726074,108.41999816894531,86.82489776611328,159.31146240234375,94.93587493896484,78.20708465576172,73.1349105834961
2015-09-29,83.6165542602539,75.7514877319336,13.143329620361328,107.9800033569336,87.123779296875,159.4047393798828,95.20468139648438,78.05184173583984,73.18572998046875
2015-09-30,83.64717864990234,75.73489379882812,13.239459037780762,106.86000061035156,87.13994598388672,162.37890625,94.87443542480469,79.13031768798828,74.60063934326172
2015-10-01,83.7121810913086,75.7514877319336,13.152070045471191,106.7300033569336,87.20787811279297,162.80259704589844,95.27922821044922,79.07310485839844,74.778564453125
2015-10-02,83.96450805664062,75.7514877319336,13.239459037780762,108.98999786376953,87.62859344482422,165.23452758789062,95.85638427734375,80.05359649658203,75.76983642578125
2015-10-05,83.65096282958984,75.73489379882812,13.414237976074219,108.7699966430664,87.1431884765625,168.17481994628906,94.55583953857422,81.97360229492188,77.22712707519531
2015-10-06,83.85741424560547,75.73489379882812,13.676403999328613,109.86000061035156,87.32121276855469,167.5986328125,94.96371459960938,81.95724487304688,76.9390640258789
2015-10-07,83.7962646484375,75.73489379882812,13.650187492370605,109.69999694824219,87.1027603149414,168.97137451171875,94.64818572998047,83.06845092773438,77.56602478027344
2015-10-08,83.68153381347656,75.73489379882812,13.711359024047852,109.13999938964844,86.87614440917969,170.49659729003906,93.8555679321289,84.16329956054688,78.2777328491211
2015-10-09,83.61270904541016,75.73489379882812,13.77253246307373,110.87000274658203,86.92474365234375,170.5982666015625,94.10179138183594,84.14693450927734,78.35397338867188
2015-10-12,83.82685852050781,75.73489379882812,13.554059982299805,111.30999755859375,87.21601104736328,170.75929260253906,94.81751251220703,84.06525421142578,78.37940216064453
2015-10-13,83.83447265625,75.73489379882812,13.466670036315918,111.86000061035156,87.29691314697266,169.68316650390625,94.97909545898438,83.27271270751953,77.85408782958984
2015-10-14,84.14806365966797,75.73489379882812,13.501626968383789,113.80999755859375,87.77424621582031,168.86964416503906,95.81022644042969,82.66812133789062,77.52366638183594
2015-10-15,84.03329467773438,75.73489379882812,13.466670036315918,113.29000091552734,87.47486877441406,171.462646484375,95.34078979492188,83.79562377929688,78.6674575805664
2015-10-16,83.94920349121094,75.73489379882812,13.475410461425781,112.48999786376953,87.40206146240234,172.2421417236328,95.37158203125,83.72208404541016,79.03175354003906
2015-10-19,84.03329467773438,75.73489379882812,13.230720520019531,112.0199966430664,87.36161804199219,172.32687377929688,95.10994720458984,83.74658966064453,79.02330017089844
2015-10-20,83.86507415771484,75.71833038330078,13.256937026977539,112.7300033569336,87.06229400634766,172.10659790039062,94.52506256103516,84.0897445678711,78.93009185791016
2015-10-21,84.06387329101562,75.73489379882812,13.143329620361328,111.7300033569336,87.36161804199219,171.03887939453125,95.46395111083984,83.0276107788086,78.4640884399414
2015-10-22,84.07920837402344,75.73489379882812,13.18702507019043,111.69000244140625,87.45059967041016,173.92835998535156,95.62553405761719,83.68122100830078,79.71804809570312
2015-10-23,83.93390655517578,75.73489379882812,13.10837459564209,111.5,86.95710754394531,175.83494567871094,94.809814453125,84.40840911865234,80.59072875976562
2015-10-26,83.97213745117188,75.71833038330078,13.073419570922852,111.43000030517578,87.18360900878906,175.40277099609375,95.44084930419922,83.9998779296875,80.42127227783203
2015-10-27,84.09455108642578,75.71833038330078,13.012247085571289,111.68000030517578,87.40206146240234,175.06385803222656,95.67939758300781,83.11746978759766,80.20942687988281
2015-10-28,83.84213256835938,75.71833038330078,13.230720520019531,110.77999877929688,86.94898223876953,177.05516052246094,95.29460906982422,85.03752136230469,81.19226837158203
2015-10-29,83.48265838623047,75.71833038330078,13.152070045471191,109.72000122070312,86.41503143310547,176.9534454345703,93.77860260009766,84.52278137207031,81.1159896850586
2015-10-30,83.70445251464844,75.71833038330078,13.28315258026123,109.30000305175781,86.58492279052734,176.19081115722656,94.48658752441406,84.37567138671875,80.77710723876953
2015-11-02,83.53974914550781,75.71833038330078,13.213241577148438,108.58999633789062,86.336181640625,178.2753448486328,94.0523681640625,85.87089538574219,81.71755981445312
2015-11-03,83.386474609375,75.73489379882812,13.449193000793457,106.9800033569336,86.10933685302734,178.79222106933594,93.28118133544922,86.02613830566406,81.96326446533203
